Minature vase,Unidentified Artist,19th century,65.86.38,Porcelain with green and crackled grey glaze (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-65_86_38_whs-002.jpg,The Metropolitan Museum of Art
Dish,Unidentified Artist,Unknown Date,24.170.6,Porcelain painted in underglaze blue and overglaze polychrome enamels,China,https://images.metmuseum.org/CRDImages/as/mobile-large/58230.jpg,The Metropolitan Museum of Art
Piece,Unidentified Artist,19th century,20.148.1228,Silk / Compound weave,China or Japan,https://images.metmuseum.org/CRDImages/as/mobile-large/DP14691.jpg,The Metropolitan Museum of Art
Snuff bottle with stopper,Unidentified Artist,18th–19th century,"02.18.991a, b","Agate, quartz",China,https://images.metmuseum.org/CRDImages/as/mobile-large/02_18_991.JPG,The Metropolitan Museum of Art
Bead,Unidentified Artist,Unknown Date,13.40.90,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/15184.jpg,The Metropolitan Museum of Art
Vase,Unidentified Artist,19th century,81.1.553,Cloisonné enamel,China,https://images.metmuseum.org/CRDImages/as/mobile-large/81_1_553-554_25117.jpg,The Metropolitan Museum of Art
Polishing wheel for carving jade,Unidentified Artist,20th century,1981.296.23,Stone,China,https://images.metmuseum.org/CRDImages/as/mobile-large/1981_296_14-28_226267.jpg,The Metropolitan Museum of Art
Bowl,Unidentified Artist,late 18th century,1971.180.247,Porcelain with copper red glaze (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/1971_180_247_O1_sf.jpg,The Metropolitan Museum of Art
Oracle bone fragment,Unidentified Artist,Unknown Date,18.56.72,Bone,China,https://images.metmuseum.org/CRDImages/as/mobile-large/LC-18_56_72_002.jpg,The Metropolitan Museum of Art
Panel,Unidentified Artist,Unknown Date,10.27.1,Silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/7377.jpg,The Metropolitan Museum of Art
Jade book,Unidentified Artist,18th century,02.18.527,Jade (nephrite),China,https://images.metmuseum.org/CRDImages/as/mobile-large/02_18_527_d1.jpg,The Metropolitan Museum of Art
"Bowl with ring handles

",Unidentified Artist,18th–19th century,02.18.670,Jade (nephrite),China,https://images.metmuseum.org/CRDImages/as/mobile-large/18470.jpg,The Metropolitan Museum of Art
"Seal with two dragons

",Unidentified Artist,18th century,"02.18.464a, b",Jade (nephrite),China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP-14153-025.jpg,The Metropolitan Museum of Art
Snuff bottle with fish,Unidentified Artist,late 18th–early 19th century,"21.175.280a, b",Overlay glass with ivory-and-glass stopper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP295189.jpg,The Metropolitan Museum of Art
Chair Strip with Elephant,Unidentified Artist,18th century,62.97.44,"Silk, metallic thread, peacock feather filaments;  on silk;  lined with linen(?)",China,https://images.metmuseum.org/CRDImages/as/mobile-large/175114.jpg,The Metropolitan Museum of Art
Carved Figure,Unidentified Artist,18th century,06.32,Ivory,China,https://images.metmuseum.org/CRDImages/as/mobile-large/06_32_O1.jpg,The Metropolitan Museum of Art
Vase,Unidentified Artist,Unknown Date,18.56.57,"Stoneware with crackled blue glaze (Longquan ware)

",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP335586.jpg,The Metropolitan Museum of Art
Wrist Rest with Seven Sages of the Bamboo Grove,Unidentified Artist,18th century,"38.25.119a, b",Ivory,China,https://images.metmuseum.org/CRDImages/as/mobile-large/38_25_119_O1.jpg,The Metropolitan Museum of Art
Cup with flowers,Unidentified Artist,late 18th century,79.2.516,Porcelain painted in overglaze polychrome enamels (Jingdezhen ware),China,https://images.metmuseum.org/CRDImages/as/mobile-large/28332.jpg,The Metropolitan Museum of Art
Bead,Unidentified Artist,Unknown Date,13.40.95,Jade,China,https://images.metmuseum.org/CRDImages/as/mobile-large/13_40_95_15294.jpg,The Metropolitan Museum of Art
Chair Strip,Unidentified Artist,17th–18th century,30.75.52,"Silk, metallic thread;  on silk",China,https://images.metmuseum.org/CRDImages/as/mobile-large/164027.jpg,The Metropolitan Museum of Art
Griffin&#39;s Head Finial,Unidentified Artist,3rd century BCE,2002.201.87,Tinned bronze,Northwest China,https://images.metmuseum.org/CRDImages/as/mobile-large/2002_201_87_O1.jpg,The Metropolitan Museum of Art
Snuff bottle,Unidentified Artist,19th century,"21.175.291a, b",Agate with coral stopper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP321885.jpg,The Metropolitan Museum of Art
Plate,Unidentified Artist,ca. 1730–50,79.2.621,Porcelain painted in overglaze famille rose enamels and gilt,China,https://images.metmuseum.org/CRDImages/as/mobile-large/28671.jpg,The Metropolitan Museum of Art
Scholar Admiring Autumn Scenery,Unidentified artist,ca. 1525,13.220.28,Hanging scroll; ink and color on paper,China,https://images.metmuseum.org/CRDImages/as/mobile-large/13_220_28_d1.jpg,The Metropolitan Museum of Art
Vase with elephant head handles and floral decoration,Unidentified Artist,16th century,18.69.2,Stoneware with relief decoration and polychrome glaze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/18_69_2_O1_sf.jpg,The Metropolitan Museum of Art
Luohan,Unidentified artist,Unknown Date,30.76.191,Side panel of a triptych of framed paintings; watercolor on linen,China,https://images.metmuseum.org/CRDImages/as/mobile-large/30_76_191.jpg,The Metropolitan Museum of Art
"Calligraphy Couplet

",Lianfang Songfou,19th century,"13.220.84a, b",Silk,China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP335251.jpg,The Metropolitan Museum of Art
Vase,Unidentified Artist,Unknown Date,79.2.93,Porcelain with turquoise glaze,China,https://images.metmuseum.org/CRDImages/as/mobile-large/79_2_93_O1_sf.jpg,The Metropolitan Museum of Art
Snuff Bottle with Scene of Dragon-Boat Festival,Unidentified Artist,Unknown Date,"14.40.571a, b","Porcelain with overglaze enamel colors, malachite stopper",China,https://images.metmuseum.org/CRDImages/as/mobile-large/DP294334.jpg,The Metropolitan Museum of Art
