Title,Artist,Creation_Date,Accession_Number,Art_Type,Culture,Image
Two Magpies under an Orchid Cliff,Possibly by LÃ¼ Ji (ca. 1420-ca. 1505),15th century,F1911.309,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5907_12
Yue ware vessel in the shape of a chimera (bixie),,5th century,F1919.93,Vessel,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-8166_05
Kang or furniture cover (quilt),,18th century,FSC-T-7,Costume and Textile,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-8546_36
One-tier tube (<em>cong</em> ç®) with masks,,ca. 3300-ca. 2250 BCE,F1916.118,Ceremonial Object,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-F1916.118_001
Landscape: A Dappled Horse and a Horseman,Formerly attributed to Zhao Mengfu è¶å­é « (1254-1322),16th century?,F1909.172,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5907_09
Cloudy Mountains,Formerly attributed to Mi Fu (å³)ç±³è¾ (1052-1107),17th-18th century,F1909.202,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7479_05
Awaiting a ferry after clearing snow,,1279-1644,F1915.10,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7406_39
Ornament in the form of a standing horse,,220-589,F1916.302,Sculpture,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7706_06
"Panel with five dragons, flaming pearls, clouds, and floral patterns",,18th century,F1909.396,Costume and Textile,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7778_08
Bodhisattva Avalokiteshvara (Guanyin),,700-750 CE,F1911.124,Sculpture,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-6742_01
Mask and ring,,770 BCE-220 CE,F1915.81,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7727_20
Finial with hills and animals (<em>boshan</em>),,206 BCE-220 CE,F1916.21,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7728_05
Two ducks among reeds at the water's edge,Traditionally attributed to Zhao Ji (1082-1135),15th-18th century,F1916.93,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5780_02
Vase shaped like an archaic gu,Wang Zifan,1662-1722,F1911.145a-c,Vessel,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7708_04
Ancestor tablet,,ca. 1050-ca. 950 BCE,F1916.148,Ceremonial Object,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-F1916.148_001
Broad Bean Flowers and Butterflies,Formerly attributed to Ma Lin (active early to mid-13th century),15th century,F1909.236,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7460_25
Seated <em>Shijia</em> Buddha (<em>Shakyamuni</em>),,"Dated 549 CE, or possibly modern",F1911.418,Sculpture,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7755_30
Mask,,206 BCE-220 CE,F1911.624,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7700_07
Rider and horse,,206 BCE-220 CE,F1913.111,Sculpture,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7690_03
"Colophons to ""Vaisravana and Attendants""",,1368-1644,F1914.147b,Calligraphy,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-6153_01
Ornament,,ca. 1050-221 BCE,F1915.79,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7727_19
Tomb vessel with lid (<em>hill jar</em>),,early 1st-early 3rd century,F1916.488a-b,Vessel,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7411_25
Realm of the Immortals,Formerly attributed to Li Gonglin (å³)æå¬éº (ca. 1049-1106),17th century,F1918.13,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-8330_30
Lidded ritual container (<em>hu</em>) with painted decoration,,206 BCE-220 CE,F1968.32a-b,Vessel,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7597_07
Bracelet,,ca. 5000-2000 BCE,F1917.388,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-8235_16
Horse and Groom,Formerly attributed to Zhao Mengfu è¶å­é « (1254-1322),1368-1644,F1911.487,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7468_09
Standing Maitreya Buddha,,539,F1915.60a-d,Sculpture,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7607_24
Disk (<em>bi</em> ç§),,ca. 3300-2250 BCE,F1916.503,Ceremonial Object,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-F1916.503_001
Dagger-axe (<em>ge</em>),,770 BCE-9 CE,F1911.64,Weapon and Armament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7727_03
Water Buffalo,,1600-1725,FSC-PA-198,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-8485_30
Disk (<em>bi</em> ç§),,ca. 3300-2250 BCE,F1917.82,Ceremonial Object,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-F1917.82_001
"Mountain Mist, Spring Morning",Formerly attributed to Zhao Bosu (1124-1182),17th century,F1909.195,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-8032_03
Two crested birds on a branch; autumn leaves,Formerly attributed to Zhao Boju (ca. 1120s-ca.1162),18th century,F1909.249h,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5374_08
Dragon Among Clouds,Traditionally attributed to Chen Rong (active 1235-after 1262),1368-1644,F1911.519,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5752_01
Handle in the form of a dragon from a bronze vessel,,late 6th-early 5th century BCE,F1915.34,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7727_17
Disk (<em>bi</em> ç§),,ca. 2500-2000 BCE,F1912.40,Ceremonial Object,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-F1912.40_001
Arc-shaped pendant (<em>huang</em> ç),,ca. 3000-ca. 1700 BCE,F1916.156,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-F1916.156_001
River landscape: trees and houses in the foreground,,1279-1368,F1909.246g,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-6543_08
