Title,Artist,Creation_Date,Accession_Number,Art_Type,Culture,Image,Museum
Jar with Lion-Head Handles,Unknown,1300s,1962.154,Ceramic,"China, Jiangxi province, Jingdezhen, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1962.154/1962.154_web.jpg,Cleveland Art Museum
Amulet in the Form of a Seated Figure with Bovine Head,Unknown,c. 4700–2920 BC,1953.628,Jade,"Northeast China, Neolithic period, probably Hongshan culture (4700-2920 BC)",https://openaccess-cdn.clevelandart.org/1953.628/1953.628_web.jpg,Cleveland Art Museum
Wine Cup with Children at Play,Unknown,1465–87,1957.61,Ceramic,"China, Jiangxi province, Jingdezhen, Ming dynasty (1368-1644), Chenghua mark and period (1465-1487)",https://openaccess-cdn.clevelandart.org/1957.61/1957.61_web.jpg,Cleveland Art Museum
Cranes and Serpents,Unknown,475–221 BC,1938.9,Sculpture,"China, reportedly from Hunan province, Changsha, Warring States period (475-221 BC), State of Chu (c. 1046-223 BC)",https://openaccess-cdn.clevelandart.org/1938.9/1938.9_web.jpg,Cleveland Art Museum
Tomb Guardian with Animal Head,Unknown,early 700s,2000.118.1,Ceramic,"China, probably Shaanxi province, Xi'an, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/2000.118.1/2000.118.1_web.jpg,Cleveland Art Museum
"Mirror with Phoenixes, Birds, Butterflies, and Floral Sprays",Unknown,700s,1973.74,Metalwork,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1973.74/1973.74_web.jpg,Cleveland Art Museum
Brush Washer,Unknown,late 1000s–1127,1957.40,Ceramic,"China, Henan Province, Baofeng, Qingliangsi, Northern Song dynasty (960-1127)",https://openaccess-cdn.clevelandart.org/1957.40/1957.40_web.jpg,Cleveland Art Museum
Vase with Golden Pheasants,Unknown,1736–95,1971.145,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Qing dynasty (1644-1911), Qianlong mark and period (1736-95)",https://openaccess-cdn.clevelandart.org/1971.145/1971.145_web.jpg,Cleveland Art Museum
Bell (Lai Zhong),Unknown,c. 800–700 BC,1989.3,Metalwork,"China, Shaanxi province, Meixian, Western Zhou dynasty (c. 1046-771 BC)",https://openaccess-cdn.clevelandart.org/1989.3/1989.3_web.jpg,Cleveland Art Museum
Raft Cup,"Zhu Bishan (Chinese, c. 1300-aft 1362)",1345,1977.7,Silver,"China, Yuan dynasty (1271-1368) or later",https://openaccess-cdn.clevelandart.org/1977.7/1977.7_web.jpg,Cleveland Art Museum
Eleven-Headed Guanyin,Unknown,1100–1200,1981.53,Sculpture,"China, late Northern Song dynasty (960-1127) - Jin dynasty (1115-1234)",https://openaccess-cdn.clevelandart.org/1981.53/1981.53_web.jpg,Cleveland Art Museum
Stele with Shakyamuni and Maitreya,Unknown,c. 570s,1993.108,Sculpture,"China, Northern Qi dynasty (550-577)",https://openaccess-cdn.clevelandart.org/1993.108/1993.108_web.jpg,Cleveland Art Museum
Bowl with Daoist Figures,Unknown,1271–1368,1952.510,Jade,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1952.510/1952.510_web.jpg,Cleveland Art Museum
Monster Face: Door Ring Holder (Pushou),Unknown,500s,1930.731,Metalwork,"China, Henan province, Northern Dynasties period (386-581)",https://openaccess-cdn.clevelandart.org/1930.731/1930.731_web.jpg,Cleveland Art Museum
Tomb Guardians,Unknown,early 700s,2000.118,Ceramic,"China, probably Shaanxi province, Xi'an, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/2000.118/2000.118_web.jpg,Cleveland Art Museum
Virupa,Unknown,early 1400s,1972.96,Sculpture,"China, Ming dynasty (1368-1644), Yongle reign (1403-1424)",https://openaccess-cdn.clevelandart.org/1972.96/1972.96_web.jpg,Cleveland Art Museum
Tomb Guardian with Human Face,Unknown,early 700s,2000.118.2,Ceramic,"China, probably Shaanxi province, Xi'an, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/2000.118.2/2000.118.2_web.jpg,Cleveland Art Museum
Stele with Sakyamuni and Bodhisattvas,Unknown,537,1914.567,Sculpture,"China, Hebei province, Eastern Wei dynasty (534-550)",https://openaccess-cdn.clevelandart.org/1914.567/1914.567_web.jpg,Cleveland Art Museum
Seated Guanyin,Unknown,late 1100s–1200s,1984.70,Sculpture,"China, late Northern Song dynasty (960-1127) - Jin dynasty (1115-1234)",https://openaccess-cdn.clevelandart.org/1984.70/1984.70_web.jpg,Cleveland Art Museum
Bodhisattva,Unknown,700s,1983.86,Sculpture,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1983.86/1983.86_web.jpg,Cleveland Art Museum
Lobed Mirror with Heaven and Earth between the Paired Phoenixes,Unknown,mid to late 700s,1995.351,Metalwork,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1995.351/1995.351_web.jpg,Cleveland Art Museum
Amphora Vase,Unknown,1723–35,1944.190,Ceramic,"China, Jiangxi province, Jingdezhen, Qing dynasty (1644-1911), Yongzheng mark and period (1723-35)",https://openaccess-cdn.clevelandart.org/1944.190/1944.190_web.jpg,Cleveland Art Museum
Cloudy Mountains,"Mi Youren (Chinese, 1072–1151)",1130,1933.220,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1933.220/1933.220_web.jpg,Cleveland Art Museum
Headrest with Three Lions,Unknown,916–1125,2017.15,Ceramic,"China, Liao dynasty (916-1125)",https://openaccess-cdn.clevelandart.org/2017.15/2017.15_web.jpg,Cleveland Art Museum
Round Box with Decoration of Two Pheasants and Peonies,Unknown,late 1200s,2011.34,Lacquer,"China, late Southern Song (1127-1279) - early Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/2011.34/2011.34_web.jpg,Cleveland Art Museum
Mat Weight in the Form of a Bear,Unknown,202 BC–AD 9,1994.203,Sculpture,"China, Western Han dynasty (202 BC-AD 9)",https://openaccess-cdn.clevelandart.org/1994.203/1994.203_web.jpg,Cleveland Art Museum
Fish and Rocks,"Bada Shanren (Chinese, 1626–1705)",mid- to late 1600s,1953.247,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1953.247/1953.247_web.jpg,Cleveland Art Museum
The Poet Lin Bu Wandering in the Moonlight,"Du Jin (Chinese, 1446-c. 1519)",late 1400s,1954.582,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1954.582/1954.582_web.jpg,Cleveland Art Museum
Three Horses and Four Grooms,"Ren Renfa (Chinese, 1254–1328)",c. 1320s,1960.181,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1960.181/1960.181_web.jpg,Cleveland Art Museum
Finial,Unknown,475–221 BC,1930.730,Metalwork,"China, Henan province, Jincun, Warring States period (475-221 BC)",https://openaccess-cdn.clevelandart.org/1930.730/1930.730_web.jpg,Cleveland Art Museum
Portraits of the Qianlong Emperor and His Twelve Consorts,"Giuseppe Castiglione (Italian, 1688–1766)",1736–70s,1969.31,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1969.31/1969.31_web.jpg,Cleveland Art Museum
Double-tier Mirror,Unknown,300s BC,1999.220,Metalwork,"China, Warring States period (475-221 BC)",https://openaccess-cdn.clevelandart.org/1999.220/1999.220_web.jpg,Cleveland Art Museum
Beggars and Street Characters,"Zhou Chen (Chinese, c. 1450-c. 1536)",1516,1964.94,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1964.94/1964.94_web.jpg,Cleveland Art Museum
"Octafoil-shaped Mirror Featuring Ci Fei, the Dragon Slayer",Unknown,900s-1300s,1995.376,Metalwork,"China, Jin dynasty (1115-1234) or Korea, Goryeo dynasty (918-1392)",https://openaccess-cdn.clevelandart.org/1995.376/1995.376_web.jpg,Cleveland Art Museum
The Ninth Day Literary Gathering at Xing’an,"Fang Shishu (Chinese, 1693–1751)",1743,1979.72,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1979.72/1979.72_web.jpg,Cleveland Art Museum
Amitabha,Unknown,mid-1000s,1942.1082,Sculpture,"China, Yunnan province, Dali kingdom (938–1253)",https://openaccess-cdn.clevelandart.org/1942.1082/1942.1082_web.jpg,Cleveland Art Museum
Conversation in Autumn,"Hua Yan (Chinese, 1682–c. 1765)",1732,1954.263,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1954.263/1954.263_web.jpg,Cleveland Art Museum
Dog,Unknown,AD 25–220,1983.1,Sculpture,"China, Eastern Han dynasty (AD 25-220)",https://openaccess-cdn.clevelandart.org/1983.1/1983.1_web.jpg,Cleveland Art Museum
Horse,Unknown,late 600s–800,1955.295,Sculpture,"China, probably Henan province, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1955.295/1955.295_web.jpg,Cleveland Art Museum
Vase with Floral Scrolls,Unknown,900s-1000s,1948.226,Ceramic,"China, Henan province, Northern Song dynasty (960-1127)",https://openaccess-cdn.clevelandart.org/1948.226/1948.226_web.jpg,Cleveland Art Museum
Mirror with Four T's,Unknown,300s BC,1995.281,Metalwork,"China, Warring States period (475-221 BC)",https://openaccess-cdn.clevelandart.org/1995.281/1995.281_web.jpg,Cleveland Art Museum
Tea Bowl,Unknown,1100s–1200s,1948.206,Ceramic,"China, Fujian province, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1948.206/1948.206_web.jpg,Cleveland Art Museum
Ceremonial Dagger-Axe with Animal Masks (Ge),Unknown,c. 1600–1050 BC,1983.2,Jade,"China, Shang dynasty (c.1600-c.1046 BC)",https://openaccess-cdn.clevelandart.org/1983.2/1983.2_web.jpg,Cleveland Art Museum
Chrysanthemums and Cabbage,"Tao Cheng (Chinese, active c. 1471–after 1502)",c. 1486 or before,1960.40,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1960.40/1960.40_web.jpg,Cleveland Art Museum
Bodhidharma Crossing the Yangzi on a Reed,Unknown,1300s,1964.44,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1964.44/1964.44_web.jpg,Cleveland Art Museum
Shakyamuni Emerging from the Mountains,Unknown,1244,1970.2,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1970.2/1970.2_web.jpg,Cleveland Art Museum
The Five Hundred Arhats,"Wu Bin (Chinese, active c. 1591–1626)",1591–1626,1971.16,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1971.16/1971.16_web.jpg,Cleveland Art Museum
One Hundred Children at Play,"Su Hanchen (Chinese, active c. 1101–1125)",1100s–1200s,1961.261,Painting,"China, Southern Song dynasty (1127-1279)",https://openaccess-cdn.clevelandart.org/1961.261/1961.261_web.jpg,Cleveland Art Museum
Clouds and Waves at the Wu Gorge,"Xie Shichen (Chinese, 1487-after 1567)",c. 1547–67,1968.213,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1968.213/1968.213_web.jpg,Cleveland Art Museum
TLV Mirror with Multiple Nipples,Unknown,AD 9–23,1995.298,Metalwork,"China, Xin dynasty (9-23)",https://openaccess-cdn.clevelandart.org/1995.298/1995.298_web.jpg,Cleveland Art Museum
Woman Holding Plum Blossoms,Unknown,mid-700s,1987.13,Sculpture,"North China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1987.13/1987.13_web.jpg,Cleveland Art Museum
Bodhidharma Meditating Facing a Cliff,Unknown,late 1200s,1972.41,Painting,"China, Song dynasty (960-1279)",https://openaccess-cdn.clevelandart.org/1972.41/1972.41_web.jpg,Cleveland Art Museum
Ancestor Group Portrait,Unknown,1796–1820,2019.82,Painting,"China, Qing dynasty (1644-1911), Jiaqing period (1796-1820)",https://openaccess-cdn.clevelandart.org/2019.82/2019.82_web.jpg,Cleveland Art Museum
Seated Amitayus Buddha,Unknown,c. 570s,1915.334.1,Sculpture,"China, Northern Qi dynasty (550-577)",https://openaccess-cdn.clevelandart.org/1915.334.1/1915.334.1_web.jpg,Cleveland Art Museum
Ink Flowers,"Zhao Zhong (Chinese, second half of the 1300s)",1361,1967.36,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1967.36/1967.36_web.jpg,Cleveland Art Museum
Xu Jingyang Moving His Family,"Cui Zizhong (Chinese, 1574–1644)",1644,1961.90,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1961.90/1961.90_web.jpg,Cleveland Art Museum
Streams and Mountains,"Xu Ben (Chinese, 1335–1380)",1372,1997.96,Painting,"China, Yuan dynasty (1271-1368)",https://openaccess-cdn.clevelandart.org/1997.96/1997.96_web.jpg,Cleveland Art Museum
"Mirror with Deities, Chariot, and the White Tiger",Unknown,AD 100–200,1995.332,Metalwork,"China, Eastern Han dynasty (25-220)",https://openaccess-cdn.clevelandart.org/1995.332/1995.332_web.jpg,Cleveland Art Museum
"Dream Journey among Rivers and Mountains, no. 90","Cheng Zhengkui (Chinese, 1604–1676)",1658,1960.182,Painting,"China, Qing dynasty (1644-1911)",https://openaccess-cdn.clevelandart.org/1960.182/1960.182_web.jpg,Cleveland Art Museum
Mirror with a Coiling Dragon,Unknown,700s,1995.367,Metalwork,"China, Tang dynasty (618-907)",https://openaccess-cdn.clevelandart.org/1995.367/1995.367_web.jpg,Cleveland Art Museum
The Hermit Xu You Resting by a Stream,"Dai Jin (Chinese, 1388–1462)",1400s,1974.45,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1974.45/1974.45_web.jpg,Cleveland Art Museum
Prunus Vase (Meiping) with Blossoming Lotus,Unknown,late 1400s,1942.716,Ceramic,"China, Jiangxi province, Jingdezhen kilns, Ming dynasty (1368-1644)",https://openaccess-cdn.clevelandart.org/1942.716/1942.716_web.jpg,Cleveland Art Museum
River Village in a Rainstorm,Lu Wenying (Chinese),c. 1480–1507,1970.76,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1970.76/1970.76_web.jpg,Cleveland Art Museum
Birds Gather under the Spring Willow,"Yin Hong (Chinese, c. 1430-c. 1500)",late 1400s-early 1500,1974.31,Painting,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1974.31/1974.31_web.jpg,Cleveland Art Museum
Mandala Base,Unknown,early 1400s,1987.58,Enamel,"China, Ming dynasty (1368–1644)",https://openaccess-cdn.clevelandart.org/1987.58/1987.58_web.jpg,Cleveland Art Museum
Wine Vessel (Hu),Unknown,c. 1000–900 BC,1944.61,Metalwork,"China, early Western Zhou dynasty (c. 1046-771 BC)",https://openaccess-cdn.clevelandart.org/1944.61/1944.61_web.jpg,Cleveland Art Museum
